Ensembl_Gene_ID	Gene_Symbol	log2FC_DeSeq	p_DeSeq	padj_DeSeq	log2FC_edge	p_edge	padj_edge
ENSG00000090339	ICAM1	6,5146051234	0	0	6,6698404077	0	0
ENSG00000108691	CCL2	6,3686974669	0	0	6,3927430651	0	0
ENSG00000118503	TNFAIP3	4,142184042	0	0	4,1752383048	0	0
ENSG00000162692	VCAM1	8,7782866973	0	0	9,0516122689	0	0
ENSG00000185215	TNFAIP2	3,3456674423	0	0	3,3128766885	0	0
ENSG00000169429	IL8	3,4870272048	0	0	3,4854038547	1,49E-291	4,76E-288
ENSG00000077150	NFKB2	3,6649776903	0	0	3,6760936413	9,72E-277	2,82E-273
ENSG00000100906	NFKBIA	2,8440308116	0	0	2,8107738915	1,69E-238	4,50E-235
ENSG00000161011	SQSTM1	1,4539499091	0	0	1,404984023	6,60E-87	3,91E-84
ENSG00000164251	F2RL1	2,2674724659	1,86E-298	4,46E-295	2,228720453	7,80E-174	1,25E-170
ENSG00000145365	TIFA	2,5147396288	5,37E-288	1,20E-284	2,4827316786	9,05E-190	1,61E-186
ENSG00000056558	TRAF1	4,2596374184	1,37E-273	2,84E-270	4,3219219715	0	0
ENSG00000104856	RELB	5,1896450277	2,61E-261	5,09E-258	5,3740452546	0	0
ENSG00000007908	SELE	6,196637287	7,71E-247	1,27E-243	6,5992071817	0	0
ENSG00000023445	BIRC3	6,5579268982	4,00E-240	6,24E-237	7,1013231569	0	0
ENSG00000128284	APOL3	3,0614676915	7,04E-235	1,05E-231	3,0580886345	5,34E-219	1,31E-215
ENSG00000184371	CSF1	2,8844695487	1,99E-222	2,83E-219	2,8747119649	1,34E-200	2,51E-197
ENSG00000160326	SLC2A6	2,3957272225	1,07E-190	1,39E-187	2,371736578	7,25E-153	9,27E-150
ENSG00000112149	CD83	4,7996131762	8,18E-129	6,22E-126	5,1849020913	6,25E-209	1,25E-205
ENSG00000169248	CXCL11	3,8315673573	2,81E-120	1,99E-117	3,9885010193	3,59E-153	4,78E-150
ENSG00000163735	CXCL5	4,7592393268	6,91E-100	3,85E-97	5,3189628206	6,02E-161	8,75E-158
ENSG00000006210	CX3CL1	5,0289208223	1,49E-79	6,37E-77	6,2047905222	2,06E-142	2,53E-139
ENSG00000185101	ANO9	4,7255973704	2,80E-78	1,18E-75	5,5319492083	6,65E-119	6,25E-116
ENSG00000227507	LTB	4,0995946794	2,09E-71	7,67E-69	4,5693401008	8,35E-99	5,93E-96
ENSG00000086061	DNAJA1	0,6674646133	8,43E-67	2,92E-64	0,6160659876	8,81E-20	1,04E-17
ENSG00000145632	PLK2	0,4267518548	1,74E-54	4,90E-52	0,3743843813	3,41E-08	1,54E-06
ENSG00000137575	SDCBP	0,562417938	6,61E-37	1,21E-34	0,5110720979	1,04E-13	8,15E-12
ENSG00000185551	NR2F2	-0,4418710276	1,02E-33	1,68E-31	-0,4961472049	2,83E-13	2,15E-11
ENSG00000143878	RHOB	0,4270699083	8,57E-20	7,96E-18	0,3760342184	1,01E-07	4,24E-06
ENSG00000163661	PTX3	0,7688218098	1,28E-18	1,11E-16	0,7264569628	3,04E-18	3,32E-16
ENSG00000143321	HDGF	0,4197447033	5,03E-18	4,26E-16	0,3691856958	2,76E-07	1,08E-05
ENSG00000166710	B2M	0,5934226886	2,74E-17	2,17E-15	0,546357382	2,92E-12	2,01E-10
ENSG00000091527	CDV3	0,4330530474	1,29E-14	8,77E-13	0,3818032113	4,70E-08	2,08E-06
ENSG00000167996	FTH1	0,3086051027	0,0001285683	0,0027032255	0,2597510103	0,0013737609	0,0215751345
ENSG00000104951	IL4I1	3,3577105153	2,79E-129	2,18E-126	3,4292833296	1,11E-140	1,27E-137
ENSG00000142871	CYR61	0,3022995047	1,19E-19	1,10E-17	0,2496820627	0,0001860959	0,0039336139
ENSG00000172602	RND1	3,1006902741	1,59E-126	1,18E-123	3,1459477897	1,09E-128	1,12E-125
ENSG00000008517	IL32	2,6851848451	1,61E-197	2,19E-194	2,6720847487	6,15E-172	9,36E-169
