gene	Total_value	TRAP_value	log2_fold_change	p_value
CG34367	15,231	301,761	4.30832	0,00005
alrm	68,0516	1140,16	4.06647	0,00005
wun2	7,83654	97,8749	3.64265	0,00005
GstD3	18,4069	214,939	3.54561	0,00005
Obp44a	772,297	8895,07	3.52578	0,00005
CG1537	13,9684	159,504	3.51335	0,00005
CG34445	4,1279	45,4468	3.4607	0,00575
CG1552	125,492	1340,75	3.41737	0,00005
CG14141	28,0949	287,597	3.35567	0,00005
CG33958	0,349851	3,52282	3.33192	0,01145
CG12926	21,4862	192,004	3.15966	0,00005
CG9394	47,8264	404,365	3.07978	0,00005
CG1545	34,7032	278,391	3.00397	0,00005
CG15209	126,192	1009,89	3.0005	0,00005
CG7607	25,2095	187,873	2.89772	0,00005
CG8745	15,699	115,236	2.87584	0,00005
CG15203	73,7057	528,695	2.84259	0,00005
CG18731	26,063	186,603	2.8399	0,00005
CG13707	20,389	145,152	2.83171	0,00005
e	49,5986	323,341	2.70469	0,00005
CG31235	5,8844	36,835	2.64611	0,00005
GstE2	32,4864	183,98	2.50164	0,00005
CG4409	35,8604	198,09	2.46569	0,00005
Ssadh	76,4426	411,433	2.42821	0,00005
CG42489	35,1154	184,788	2.39569	0,00005
CG9486	14,1914	74,4556	2.39136	0,00005
CG15107	11,259	58,595	2.3797	0,00005
CG8369	407,581	2009,96	2.30201	0,00005
CG13822	9,60319	46,6007	2.27877	0,0001
DAT	2,92122	14,0742	2.26841	0,00005
nemy	21,6593	102,708	2.24549	0,00005
CG14968	8,4803	38,9747	2.20035	0,00005
CG7433	99,8425	428,932	2.10302	0,00005
CG10654	16,3968	70,0453	2.09487	0,0002
l(2)35Be	7,09057	30,1733	2.0893	0,00025
Gs2	607,336	2524,63	2.0555	0,00005
CG31706	73,7753	298,512	2.01658	0,00005
nimB4	10,2516	41,4276	2.01474	0,00005
Rh50	16,5951	66,3052	1.99836	0,00005
Treh	111,125	443,906	1.99807	0,00005
CG12730	33,0897	132,07	1.99685	0,00005
l(1)G0144	25,999	101,475	1.96459	0,00005
MED30	8,45015	32,7253	1.95336	0,00005
MED4	6,66236	25,6783	1.94645	0,00025
CG11808	12,5804	48,3922	1.9436	0,00005
Arc2	7,15416	27,1884	1.92613	0,00025
Tsp5D	26,8998	101,718	1.91891	0,00005
wkd	86,2122	324,06	1.9103	0,00005
GstE1	77,4019	290,236	1.90679	0,00005
CG1732	14,5602	54,3669	1.9007	0,00005
COQ7	73,0981	271,701	1.89411	0,00005
Ssb-c31a	56,719	209,873	1.88761	0,00005
CG14341	45,7891	168,034	1.87567	0,00005
MtnA	2450,16	8944,13	1.86807	0,00005
CG40228	17,2738	62,343	1.85165	0,00005
CG1041	18,0922	64,7425	1.83935	0,00005
CG32368	25,7544	91,9395	1.83586	0,0003
Sodh-2	13,8054	48,8263	1.82242	0,00005
CAH1	366,855	1287,85	1.81168	0,00005
DMAP1	23,5674	79,8386	1.76029	0,00005
Dat	177,922	591,36	1.73279	0,00005
CG4288	12,9961	42,7652	1.71836	0,00005
SmG	75,4069	246,369	1.70805	0,00005
Roc2	54,2494	177,093	1.70683	0,00135
repo	22,9707	74,2997	1.69356	0,00005
CG7888	36,8821	118,572	1.68477	0,00005
CG17556	14,7708	47,3516	1.68066	0,00005
CG2680	23,7024	75,9261	1.67956	0,00005
CG12935	6,04631	19,3575	1.67876	0,00065
mRpS25	55,6292	177,768	1.67608	0,00005
CG11985	62,0008	197,556	1.6719	0,00005
CG13484	15,7799	50,247	1.67095	0,0003
vps2	32,2758	102,774	1.67094	0,00005
CG9471	41,6943	132,668	1.6699	0,00005
Rpb10	132,243	417,866	1.65985	0,00005
CG16790	16,6569	52,0836	1.64471	0,00005
icln	10,886	34,0049	1.64327	0,0002
stumps	20,5288	62,789	1.61286	0,00005
Dim1	37,0996	113,461	1.61272	0,00005
CG6617	38,2278	115,788	1.59879	0,00005
ave	18,657	56,4033	1.59607	0,01235
Sgf29	11,0014	33,1636	1.59191	0,00005
CG2931	16,5395	49,8316	1.59114	0,00005
CG32187	4,53383	13,644	1.58947	0,0018
CG13631	59,2267	178,035	1.58784	0,00005
CG12177	25,9808	77,5039	1.57682	0,00005
mRpL34	60,8942	181,382	1.57465	0,00315
CG17059	256,1	762,564	1.57415	0,00005
CG15432	28,9981	86,1678	1.57119	0,0005
CG10333	10,3127	30,3603	1.55776	0,00005
CG32485	51,133	150,508	1.55752	0,00005
CG10126	44,3124	130,204	1.55499	0,00005
Pglym78	311,717	910,667	1.54669	0,00005
baf	75,8384	219,962	1.53625	0,00005
CG1750	5,43226	15,7425	1.53504	0,00575
CG31344	47,4553	136,893	1.52841	0,00005
Taf11	17,1482	49,4408	1.52765	0,00715
AP-2sigma	112,504	323,575	1.52413	0,00005
CG3077	4,05376	11,6584	1.52404	0,0035
RpII18	91,5518	263,014	1.52248	0,00005
CG9467	42,8724	123,092	1.52161	0,00005
CG11523	31,666	90,5519	1.51581	0,00005
CG15440	13,8266	38,9861	1.49551	0,00005
robl	132,495	372,11	1.48979	0,00005
CG14688	164,25	456,769	1.47557	0,00005
CG10581	24,4845	67,6645	1.46653	0,0003
CG32032	18,609	51,4023	1.46583	0,00005
CG4101	76,8719	212,045	1.46384	0,00005
Snr1	28,4655	78,3738	1.46116	0,00005
CG12768	14,5689	39,9464	1.45517	0,00005
CG14483	255,678	700,705	1.45448	0,00005
CG9107	9,77204	26,6884	1.44948	0,00015
Irk2	74,6665	203,666	1.44767	0,00005
dod	57,949	157,811	1.44534	0,00005
snf	50,9966	138,754	1.44405	0,00005
CG4646	26,5706	71,0357	1.41871	0,00005
CG6259	54,4983	145,458	1.41632	0,00005
CG15536	34,8032	92,5997	1.41179	0,00015
CG9948	11,899	31,4223	1.40095	0,0004
Ptpa	14,8948	39,2466	1.39776	0,00005
CG3163	17,9363	47,1385	1.39403	0,00005
mRpL54	17,6051	46,2279	1.39277	0,0004
CG7949	51,5993	135,258	1.39029	0,00005
Xpac	10,671	27,9391	1.38859	0,0003
CG15084	9,80934	25,579	1.38273	0,0002
ECSIT	17,0892	44,4252	1.37829	0,00005
Dmn	48,3766	125,713	1.37775	0,00005
CG8613	25,7522	66,8824	1.37693	0,00005
l(3)87Df	75,6169	196,177	1.37538	0,00005
CG3940	37,8548	97,9041	1.37089	0,00005
CG6833	8,18646	21,1519	1.36948	0,00075
CG40127	84,7099	218,178	1.3649	0,00005
Roc1a	250,662	644,259	1.3619	0,00005
CG9018	25,0064	64,1118	1.35829	0,00005
CG8607	5,7886	14,821	1.35636	0,01045
CG9804	13,9099	35,578	1.35487	0,0001
veli	21,3639	54,5123	1.35141	0,00005
CG16787	13,455	34,3153	1.35071	0,0004
Mat1	17,2341	43,9225	1.34969	0,00005
CG30094	10,017	25,4885	1.34739	0,0117
CG10418	40,4497	102,525	1.34178	0,00015
Nxt1	49,0791	124,275	1.34035	0,00005
mRpL11	22,0663	55,8644	1.34009	0,0001
l(1)G0136	105,351	265,07	1.33118	0,00005
Gapdh2	684,081	1718,86	1.32921	0,00005
mRpL41	27,5391	68,9447	1.32396	0,0002
Got1	96,2246	240,029	1.31873	0,00005
CG17776	245,399	610,679	1.31528	0,00005
Sce	14,9509	37,0072	1.30757	0,00005
mRpL32	20,6196	51,019	1.30702	0,0006
CG3192	169,964	418,986	1.30167	0,0003
blos1	27,1259	66,8657	1.3016	0,00025
CG8281	24,9415	61,469	1.30131	0,00005
CG14482	1881,48	4624,5	1.29743	0,00005
trus	34,3036	84,1487	1.29458	0,00005
Vps28	38,8102	94,8378	1.28903	0,00005
CG10646	7,89873	19,2917	1.28829	0,00115
CG17019	17,6353	42,9962	1.28575	0,00005
Vha13	573,551	1397,45	1.2848	0,00005
e(y)2	29,8644	72,7408	1.28434	0,00305
CG9836	398,434	966,415	1.2783	0,00005
CG5254	49,1526	119,16	1.27757	0,00005
wuho	16,8023	40,7237	1.27721	0,00745
CG15922	75,5714	183,024	1.27612	0,00195
Bet5	50,8214	122,724	1.27191	0,00005
TfIIEbeta	16,1672	39,0065	1.27064	0,00005
CG31715	59,274	142,922	1.26976	0,00005
CG9205	65,4678	157,657	1.26793	0,0128
CG5532	36,5384	87,9688	1.26758	0,00005
RfC4	14,8554	35,7582	1.26729	0,00005
CG17680	124,381	299,286	1.26675	0,00005
CG10268	10,949	26,3433	1.26664	0,00025
CG14977	75,9688	182,59	1.26513	0,00005
CG9065	260,093	622,718	1.25955	0,00005
MrgBP	81,3396	194,432	1.25723	0,0002
TfIIA-S	183,324	436,939	1.25303	0,00005
Rpn12	28,1165	66,9516	1.2517	0,00005
CG17180	17,8507	42,3657	1.24692	0,00005
CG42382	19,8451	46,8687	1.23984	0,00005
CG33107	10,7773	25,4485	1.23958	0,00095
CG13390	10,9816	25,9121	1.23854	0,00155
CSN6	14,2014	33,5083	1.23849	0,0053
mRpL24	31,1288	73,4143	1.23781	0,00005
CG1458	231,772	545,533	1.23496	0,00005
mRpS23	24,4355	57,4533	1.23341	0,001
CG12237	62,7758	146,432	1.22195	0,00005
