Locus	FPKM(9DPA)	FPKM(Control)	Fold_Change	P-value	LOG_FC
c25055_g1	14,5916846852	3,9356118573	3,7076025823	4,88E-17	0,569093176
c60720_g2	80,9163141652	22,5605460702	3,5866292382	0	0,5546864845
c44950_g1	24,9695985976	6,9296592307	3,6032938657	6,56E-74	0,5566996823
c43598_g1	6,8371396824	2,0494978313	3,3360072785	5,45E-19	0,5232269895
c43494_g1	7,8006004345	1,9370275699	4,0270983004	2,35E-28	0,6049922307
c42532_g2	27,8896060819	1,3296328905	20,9754183131	3,95E-116	1,3217106307
c53067_g3	8,2233063244	2,7190427154	3,0243387784	7,74E-56	0,4806304381
c55028_g2	3,4258919883	1,0242052823	3,344927084	3,07E-13	0,524386655
c46011_g1	52,9141845816	12,177562905	4,3452195644	7,33E-172	0,6380117263
c49908_g2	6,6423151521	2,1590705508	3,0764697103	2,15E-08	0,4880526436
c64832_g1	96,7748415907	15,592319986	6,2065710348	5,32E-167	0,7928517303
c53099_g4	3,4441634122	1,0851520042	3,1738995079	5,28E-07	0,501593172
c61635_g1	27,4938319482	8,2658496806	3,3261954924	4,17E-33	0,5219477707
c44524_g2	17,0873223551	4,648561501	3,6758301146	3,97E-28	0,5653554314
c53425_g4	6,0019612404	1,548631249	3,8756555147	3,46E-10	0,5883451681
c41286_g1	5126,6311539513	1655,6795480373	3,0963909411	0	0,4908557882
c56083_g1	13,7708941782	2,5387539037	5,4242729703	7,83E-117	0,7343415368
c32806_g1	118,2634424668	25,8377307028	4,5771605807	1,98E-195	0,6605961491
c52025_g3	3,271338008	0,8911876363	3,6707623341	4,81E-07	0,5647562667
c42382_g1	40,8053211035	12,9962707072	3,1397715562	4,79E-99	0,4968980508
c49689_g2	6,9719907129	1,0658595641	6,5411907421	9,92E-18	0,8156568134
c47745_g2	3,1557359343	0,7781299872	4,0555382601	1,25E-08	0,6080485029
c49694_g1	55,9050798047	15,2743510907	3,6600625109	4,82E-156	0,5634885029
c44214_g1	7,0448797068	1,8747823757	3,7577053199	1,84E-17	0,5749227196
c26008_g1	31,7859596308	7,1153327656	4,4672485009	8,33E-50	0,6500401118
c61934_g2	33,9241816862	10,7057821319	3,1687719093	5,81E-146	0,5008909795
c53977_g1	184,1345024251	53,8048679684	3,4222647388	0	0,5343136026
c41079_g1	85,6788799452	23,1126309862	3,7070154409	1,32E-128	0,569024395
c41341_g2	3,0150925494	0,6894392766	4,373253239	6,67E-08	0,6408046265
c37614_g1	3,6454210316	1,1126696405	3,276283363	2,14E-07	0,5153814565
c64774_g1	3,0536310108	0,6880729916	4,4379463343	1,30E-07	0,6471820462
c62309_g2	24,1307373864	7,496378538	3,2189859762	3,24E-28	0,5077190846
c61353_g3	4,6406747275	1,4720935574	3,1524319254	8,82E-09	0,4986457171
c49880_g1	205,1715117006	66,9402076775	3,0649966413	1,49E-224	0,4864300029
c53429_g1	5,4982126761	0,9031090868	6,0880936273	1,71E-34	0,7844813227
c61663_g1	7,51729026	1,6711304005	4,4983265565	3,42E-20	0,6530509799
c39953_g1	8,0067267516	0,129528813	61,814252513	5,67E-55	1,7910886219
c59565_g3	167,6324823067	54,1581752889	3,0952387412	8,13E-214	0,4906941525
c45155_g2	13,5608068954	2,2317543885	6,0762989715	1,93E-46	0,7836391343
c48069_g2	38,9992372972	12,7395312125	3,0612772673	1,46E-115	0,4859026665
c25119_g1	6,4191368985	0,5254836573	12,2156737109	5,35E-19	1,0869174239
c48029_g1	17,2754863215	5,6182265946	3,0749002431	2,92E-28	0,4878310308
c48529_g1	204,9441054478	59,7397286785	3,4306166094	0	0,5353721859
c59474_g2	5,3989588624	1,1858887943	4,5526687565	7,09E-09	0,658266053
c60161_g1	6,7772247788	1,7362432067	3,9033844755	5,91E-69	0,5914413305
c46074_g3	350,2487931288	75,1048476164	4,6634645332	0	0,6687086782
c45711_g1	1892,2700227085	405,3796654238	4,6678957632	0	0,6691211494
c59777_g2	43,2213850289	9,4261115357	4,5852825808	9,73E-143	0,6613661054
c41292_g1	35,5179351882	1,3377404082	26,5506932223	2,16E-112	1,4240758647
c61571_g3	4,4452198713	1,0899244258	4,0784661452	3,36E-40	0,6104968616
c62154_g2	3,0389677166	0,7625835696	3,9850946675	1,98E-11	0,6004386427
c42487_g1	5,5656094613	1,2629325564	4,4068936485	1,17E-17	0,6441325698
c59850_g4	14,6124089126	3,6960506239	3,9535196889	1,90E-42	0,596983906
c44474_g2	3,1646218182	1,007914672	3,1397715562	5,03E-05	0,4968980508
c56538_g2	51,5338736538	13,6504123282	3,7752613192	2,57E-216	0,5769470184
c59357_g3	4,2445675854	0,4634987893	9,157667039	7,43E-15	0,9617848491
c55928_g1	26,1111050274	7,0473085518	3,7051173275	9,00E-85	0,568801965
c57589_g2	4,0220431793	0,9423438473	4,2681269592	1,73E-08	0,6302373294
c44448_g3	17,3164882668	4,0627671655	4,2622398876	3,46E-23	0,629637889
c50905_g2	16,5103078256	4,265053195	3,8710672694	1,29E-51	0,5878307183
c58207_g3	49,875629563	14,0046333437	3,5613663235	1,13E-260	0,5516166477
c62398_g1	213,0354985434	60,046979079	3,5478137587	0	0,5499608136
c45874_g1	4,613879288	1,4074038709	3,2782908896	1,60E-14	0,5156474868
c54412_g2	4,0812341012	1,3526901083	3,0171242298	6,19E-05	0,4795931926
c52638_g2	11,1325813851	0,7035562381	15,8232999464	5,41E-126	1,1992970606
c38942_g1	118,2179400171	20,75877888	5,6948407563	8,99E-250	0,7554815845
c44373_g3	21,203481593	3,2872682864	6,4501828709	4,39E-42	0,8095720276
c34599_g1	11,8864225505	2,2653004802	5,2471725736	1,93E-30	0,7199253479
c50115_g4	7,8682281452	2,5024328672	3,144231459	5,66E-22	0,4975145086
c56517_g1	32,2589192846	10,620717489	3,0373578168	1,58E-124	0,4824959571
