Gene_ID	Symbol	logFC	PValue	FDR
ENSG00000171401	KRT13	4.38511501044	1.67921611273e-15	2.99555362351e-11
ENSG00000158164	TMSB15A	-4.4493493165	3.83434435823e-14	3.42004345032e-10
ENSG00000171346	KRT15	3.0957334157	3.61748886836e-13	2.15107946409e-09
ENSG00000102837	OLFM4	4.10694158575	6.2683205753e-13	2.79551426857e-09
ENSG00000057149	SERPINB3	5.92364641724	1.22035644257e-12	4.35398771579e-09
ENSG00000141469	SLC14A1	2.78948944423	2.10705748699e-12	4.71026141811e-09
ENSG00000148773	MKI67	-3.30079836884	2.11234325606e-12	4.71026141811e-09
ENSG00000166743	ACSM1	-3.07877620255	1.77577773593e-12	4.71026141811e-09
ENSG00000133063	CHIT1	4.84951939524	1.57458688292e-11	2.55355087897e-08
ENSG00000133640	LRRIQ1	-3.32264315118	1.57458712196e-11	2.55355087897e-08
ENSG00000137634	FAM55D	6.18965724153	1.30961681793e-11	2.55355087897e-08
ENSG00000131746	TNS4	2.72291792694	2.76159510309e-11	4.10534125367e-08
ENSG00000130513	GDF15	-3.41362969378	3.52653468911e-11	4.83921940915e-08
ENSG00000162174	ASRGL1	-3.01735129011	4.46044088389e-11	5.49275673712e-08
ENSG00000164326	CARTPT	-9.86391613074	4.77526921881e-11	5.49275673712e-08
ENSG00000229314	ORM1	-9.96275758077	4.92651537608e-11	5.49275673712e-08
ENSG00000186832	KRT16	4.56873976819	6.38386301551e-11	6.69892543139e-08
ENSG00000102290	PCDH11X	6.48210868577	7.79228650597e-11	7.60769405943e-08
ENSG00000196090	PTPRT	-2.65714794828	8.10281894328e-11	7.60769405943e-08
ENSG00000186847	KRT14	2.88642616954	9.74016727998e-11	8.68774220538e-08
ENSG00000100473	COCH	3.5580460097	3.05224241072e-10	2.59280725547e-07
ENSG00000137857	DUOX1	2.38481998466	3.24890899357e-10	2.63442216074e-07
ENSG00000100985	MMP9	3.42029983068	4.95489533843e-10	3.68293241426e-07
ENSG00000137699	TRIM29	2.43875969266	4.78628196695e-10	3.68293241426e-07
ENSG00000122585	NPY	-6.58252920081	5.8959221251e-10	4.04528287653e-07
ENSG00000159251	ACTC1	3.11359146723	5.69976901441e-10	4.04528287653e-07
ENSG00000131747	TOP2A	-2.80681699699	6.53593866966e-10	4.31831888623e-07
ENSG00000242110	AMACR	-3.16763318664	7.45286868221e-10	4.74827587221e-07
ENSG00000117724	CENPF	-3.56084556682	9.21820769102e-10	5.6704692069e-07
ENSG00000186081	KRT5	2.8611551572	9.80997208176e-10	5.83333639888e-07
ENSG00000145113	MUC4	3.4885830954	1.37180006473e-09	7.89404559829e-07
ENSG00000066468	FGFR2	2.13371104569	1.60078580059e-09	8.92388059272e-07
ENSG00000140519	RHCG	7.40071825791	1.7893966936e-09	9.67304473247e-07
ENSG00000142973	CYP4B1	3.42574471232	2.24945135177e-09	1.180234196e-06
ENSG00000101057	MYBL2	-3.78467451497	2.45021619664e-09	1.24884019234e-06
ENSG00000118526	TCF21	2.12844594336	4.52669078825e-09	2.24310102699e-06
ENSG00000171848	RRM2	-3.92494810421	6.40597375347e-09	3.0885450213e-06
ENSG00000102287	GABRE	2.23716423459	8.12719002945e-09	3.81528797198e-06
ENSG00000175063	UBE2C	-3.33450387337	9.32330492293e-09	4.26457529539e-06
ENSG00000120903	CHRNA2	-4.97232432875	9.72860152805e-09	4.33871306647e-06
ENSG00000140279	DUOX2	3.34086283581	1.21297475992e-08	5.27762359565e-06
ENSG00000117399	CDC20	-3.11078561048	1.48551593051e-08	6.30955206771e-06
ENSG00000169213	RAB3B	-2.69796740153	1.52457235842e-08	6.32484797718e-06
ENSG00000134762	DSC3	2.79282445443	1.72844952184e-08	7.00768432275e-06
ENSG00000018236	CNTN1	2.12321095267	1.81477194136e-08	7.09533730064e-06
ENSG00000090889	KIF4A	-4.26924448049	1.82961778031e-08	7.09533730064e-06
ENSG00000196878	LAMB3	2.14276397959	2.09426016112e-08	7.94883127961e-06
ENSG00000197565	COL4A6	2.53051180353	2.52075706592e-08	9.36828860393e-06
ENSG00000073282	TP63	2.54566998741	2.77781973641e-08	1.01129645465e-05
ENSG00000167768	KRT1	4.98653926123	2.9350713791e-08	1.04717476663e-05
ENSG00000088325	TPX2	-3.09907685435	3.17047596899e-08	1.1068602877e-05
ENSG00000095596	CYP26A1	4.83783766763	3.28850245239e-08	1.1068602877e-05
ENSG00000166509	CLEC3A	5.8393626599	3.24554004495e-08	1.1068602877e-05
ENSG00000184012	TMPRSS2	-2.48341020771	3.35923337277e-08	1.1097289655e-05
ENSG00000116133	DHCR24	-2.48054268958	3.90492630036e-08	1.26654509586e-05
ENSG00000127954	STEAP4	-2.52375394342	5.13081662551e-08	1.6344399604e-05
ENSG00000159337	PLA2G4D	4.70193697918	5.74007026124e-08	1.7964405858e-05
ENSG00000183856	IQGAP3	-3.21808422479	7.79256036561e-08	2.39674973038e-05
ENSG00000228278	ORM2	-6.6979494783	1.13389754673e-07	3.42840649766e-05
ENSG00000065618	COL17A1	1.99583514067	1.15967238624e-07	3.44789928301e-05
ENSG00000131844	MCCC2	-2.11543608766	1.48818604186e-07	4.35209029522e-05
ENSG00000125378	BMP4	1.90152636475	1.63421763463e-07	4.7020658684e-05
