Feature_ID	P-value	Fold_change
ENSSSCG00000006036	2,27E-06	-4,367
ENSSSCG00000030303	1,83E-03	-2,860
ENSSSCG00000006416	5,46E-03	2,309
ENSSSCG00000017980	8,33E-03	-2,434
ENSSSCG00000014083	2,12E-03	-2,983
ENSSSCG00000001411	4,63E-04	-3,196
ENSSSCG00000014436	8,85E-03	-2,193
ENSSSCG00000014798	1,88E-03	-3,033
ENSSSCG00000016318	2,97E-03	-2,683
ENSSSCG00000030395	5,46E-03	-2,400
ENSSSCG00000015595	2,48E-04	-7,763
ENSSSCG00000012841	4,34E-03	-2,053
ENSSSCG00000000111	7,24E-03	-2,216
ENSSSCG00000024914	2,85E-03	-2,632
ENSSSCG00000028322	1,90E-03	-4,621
ENSSSCG00000010389	6,74E-03	-2,238
ENSSSCG00000012038	5,53E-04	-4,453
ENSSSCG00000010966	7,52E-03	3,714
ENSSSCG00000017723	2,47E-03	3,434
ENSSSCG00000021576	8,66E-03	2,035
ENSSSCG00000011391	2,76E-03	-2,635
ENSSSCG00000031039	1,41E-03	-4,358
ENSSSCG00000004754	2,11E-03	4,307
ENSSSCG00000016687	5,70E-04	-2,677
ENSSSCG00000006655	3,49E-06	-8,399
ENSSSCG00000029210	1,94E-03	-2,799
ENSSSCG00000017934	3,05E-04	-2,968
ENSSSCG00000003230	6,41E-03	-3,268
ENSSSCG00000013578	3,64E-03	12,945
ENSSSCG00000009668	1,30E-03	5,790
ENSSSCG00000021340	2,31E-03	-2,387
ENSSSCG00000006114	1,08E-03	10,788
ENSSSCG00000027762	4,49E-04	-5,586
ENSSSCG00000028731	7,26E-04	27,063
ENSSSCG00000005857	7,02E-04	-2,803
ENSSSCG00000027643	1,62E-03	-3,434
ENSSSCG00000028773	2,92E-03	-2,625
ENSSSCG00000011000	2,32E-04	5,186
ENSSSCG00000030198	1,34E-03	4,332
ENSSSCG00000010853	7,93E-03	-2,333
ENSSSCG00000016792	3,75E-04	-3,563
ENSSSCG00000014076	4,78E-03	2,287
ENSSSCG00000005981	2,62E-04	-3,867
ENSSSCG00000026044	4,88E-03	-2,239
ENSSSCG00000003140	4,89E-03	6,061
ENSSSCG00000003644	4,38E-04	-2,733
ENSSSCG00000015268	1,80E-03	-2,317
ENSSSCG00000002383	1,38E-03	-4,387
ENSSSCG00000004387	7,04E-04	-2,722
ENSSSCG00000015545	3,30E-03	-2,337
ENSSSCG00000001652	7,68E-03	-3,631
ENSSSCG00000015901	4,42E-04	-3,288
ENSSSCG00000009077	4,88E-03	2,768
ENSSSCG00000009334	2,25E-04	4,527
ENSSSCG00000012667	1,39E-03	-2,571
ENSSSCG00000011559	9,71E-03	-1,880
ENSSSCG00000011451	9,35E-03	2,345
ENSSSCG00000012582	5,76E-03	-2,133
ENSSSCG00000030799	3,37E-03	-3,582
ENSSSCG00000028522	4,90E-03	-2,361
ENSSSCG00000010481	4,80E-03	-2,813
ENSSSCG00000023396	9,20E-06	-4,192
ENSSSCG00000016605	1,99E-03	-2,723
