GO:id	description	Ontology	GeneRatio	BackgroundRatio	Pvalue	Adjusted_Pvalue	Qvalue	Hits	GeneIds
GO:0045088	regulation of innate immune response	BP	65/617	403/16655	4.24389681228303e-24	1.82827074673153e-20	1.2276029937004e-20	65	TNFAIP3/NFKB2/NFKBIA/F2RL1/RELB/BIRC3/HLA-B/HLA-E/TNIP1/RIPK2/TAP1/DDX58/TNIP3/IFIH1/STAT5A/CTSS/IRAK2/PSMB9/IRF1/IFNGR1/TANK/NFKB1/MAP2K6/CYLD/CTSK/LGALS9/TLR3/IFNGR2/NOD2/NFKBIB/PSMB10/PSMB8/MAP2K3/PSME2/PRKCD/TICAM1/MAP3K8/HLA-A/GBP5/IRF7/TRAF3/CAV1/PARP9/BIRC2/PTPN2/RSAD2/DHX58/COLEC12/PELI2/PSME1/WNT5A/TRIM6/LYN/TLR2/DDX60/NMI/LGR4/PSMA3/MB21D1/IFNAR1/TNIP2/TRAFD1/PRKACB/IL1B/DUSP4
GO:0001819	positive regulation of cytokine production	BP	61/617	397/16655	1.5285800539762e-21	3.29256143626473e-18	2.21080946754031e-18	61	CCL2/NFKB2/NFKBIA/F2RL1/BIRC3/CD83/CX3CL1/LTB/B2M/CCL20/HLA-E/RIPK2/DDX58/EBI3/IFIH1/STAT5A/IL18R1/IL1A/IL15/IRF1/NFKB1/TRIM21/PTAFR/LGALS9/TLR3/NOD2/GPRC5B/NFKBIB/SMAD3/PANX1/CSF2/BCL3/TRIM16/TRAF2/TICAM1/HLA-A/GBP5/IRF7/CD34/CD74/POSTN/NR4A3/BIRC2/RSAD2/DHX58/IDO1/RGCC/WNT5A/TRIM6/TLR2/DDX60/STAT6/MB21D1/IFNAR1/ADORA2B/IL4R/CASP1/XBP1/CD40/CD58/IL1B
GO:0007159	leukocyte cell-cell adhesion	BP	67/617	488/16655	8.0685021261342e-21	1.15863690531287e-17	7.77973468161992e-18	67	ICAM1/CCL2/VCAM1/F2RL1/RELB/SELE/CD83/B2M/ICOSLG/HLA-E/TNIP1/RIPK2/EBI3/STAT5A/IL18R1/TNFSF18/TGFBR2/JAK3/IL15/IRF1/IL7R/PTAFR/CYLD/PIK3CD/LGALS9/OLR1/CXADR/NOD2/CD47/SMAD3/EFNB1/PSMB10/BCL3/TNFRSF4/VNN1/TRAF2/TCF7/PDCD1LG2/MAP3K8/HLA-A/GCNT1/CD74/CAV1/PDE5A/NR4A3/PTPN2/RSAD2/IDO1/TP53/BTN3A1/MPZL2/NCK1/LYN/HLX/STAT6/CXCL12/HAS2/BTN2A2/IFNAR1/PSEN2/IL4R/XBP1/HES1/PSEN1/SHH/IL1B/EFNB2
GO:0031349	positive regulation of defense response	BP	63/617	439/16655	1.24615217797319e-20	1.34210589567712e-17	9.01164785544819e-18	63	CCL2/TNFAIP3/NFKB2/NFKBIA/F2RL1/RELB/BIRC3/CX3CL1/HLA-E/TNIP1/RIPK2/DDX58/TNIP3/IFIH1/STAT5A/CTSS/TNFSF18/IRAK2/IL15/PSMB9/IRF1/TANK/NFKB1/MAP2K6/CYLD/CTSK/TLR3/NOD2/CD47/GPRC5B/NFKBIB/PSMB10/PSMB8/MAP2K3/PSME2/PRKCD/TICAM1/MAP3K8/GBP5/IRF7/TRAF3/CCL7/CAV1/BIRC2/RSAD2/DHX58/IDO1/COLEC12/PELI2/PSME1/WNT5A/TRIM6/LYN/TLR2/DDX60/LGR4/PSMA3/MB21D1/ADORA2B/TNIP2/PRKACB/IL1B/DUSP4
GO:0034341	response to interferon-gamma	BP	38/617	161/16655	2.25786741436105e-20	1.94537856421348e-17	1.3062357167714e-17	38	ICAM1/CCL2/VCAM1/CX3CL1/B2M/KYNU/CCL20/HLA-B/HLA-E/GBP1/HLA-F/IRF1/IFNGR1/TRIM21/PTAFR/IRF2/LGALS9/TLR3/IFNGR2/UBD/TRIM22/PRKCD/HLA-A/GBP5/OASL/IRF7/CCL7/DAPK3/GCH1/C19orf66/PARP9/PTPN2/WNT5A/OAS3/PML/HLA-C/GBP2/CD58
GO:0032496	response to lipopolysaccharide	BP	53/617	324/16655	4.32825759418828e-20	2.68197241596512e-17	1.80082592950011e-17	53	ICAM1/CCL2/TNFAIP3/VCAM1/CXCL8/NFKB2/NFKBIA/SELE/CXCL11/CXCL5/B2M/TNFRSF9/CXCL1/CXCL6/CCL20/CXCL10/RIPK2/CXCL2/TNIP3/IRAK2/ZC3H12A/JUNB/CXCL3/NFKB1/PTAFR/LGALS9/THBD/NOD2/NFKBIB/CSF2/TNFRSF4/NOCT/PLAU/SBNO2/F3/TICAM1/GCH1/IDO1/TNFRSF11B/WNT5A/TRIM6/LYN/TLR2/IL18BP/ABR/RELT/IFNAR1/NOS3/CASP1/XBP1/TNIP2/CD40/IL1B
GO:0045089	positive regulation of innate immune response	BP	54/617	336/16655	4.35789389780777e-20	2.68197241596512e-17	1.80082592950011e-17	54	TNFAIP3/NFKB2/NFKBIA/F2RL1/RELB/BIRC3/HLA-E/TNIP1/RIPK2/DDX58/TNIP3/IFIH1/STAT5A/CTSS/IRAK2/PSMB9/IRF1/TANK/NFKB1/MAP2K6/CYLD/CTSK/TLR3/NOD2/NFKBIB/PSMB10/PSMB8/MAP2K3/PSME2/PRKCD/TICAM1/MAP3K8/GBP5/IRF7/TRAF3/CAV1/BIRC2/RSAD2/DHX58/COLEC12/PELI2/PSME1/WNT5A/TRIM6/LYN/TLR2/DDX60/LGR4/PSMA3/MB21D1/TNIP2/PRKACB/IL1B/DUSP4
GO:0002237	response to molecule of bacterial origin	BP	53/617	336/16655	2.33539211490299e-19	1.25760865387526e-16	8.44428622599134e-17	53	ICAM1/CCL2/TNFAIP3/VCAM1/CXCL8/NFKB2/NFKBIA/SELE/CXCL11/CXCL5/B2M/TNFRSF9/CXCL1/CXCL6/CCL20/CXCL10/RIPK2/CXCL2/TNIP3/IRAK2/ZC3H12A/JUNB/CXCL3/NFKB1/PTAFR/LGALS9/THBD/NOD2/NFKBIB/CSF2/TNFRSF4/NOCT/PLAU/SBNO2/F3/TICAM1/GCH1/IDO1/TNFRSF11B/WNT5A/TRIM6/LYN/TLR2/IL18BP/ABR/RELT/IFNAR1/NOS3/CASP1/XBP1/TNIP2/CD40/IL1B
GO:0002218	activation of innate immune response	BP	49/617	291/16655	3.39735700955379e-19	1.60352464147234e-16	1.07669591818551e-16	49	TNFAIP3/NFKB2/NFKBIA/F2RL1/RELB/BIRC3/TNIP1/RIPK2/DDX58/TNIP3/IFIH1/CTSS/IRAK2/PSMB9/IRF1/TANK/NFKB1/MAP2K6/CYLD/CTSK/TLR3/NOD2/NFKBIB/PSMB10/PSMB8/MAP2K3/PSME2/PRKCD/TICAM1/MAP3K8/IRF7/TRAF3/CAV1/BIRC2/RSAD2/DHX58/COLEC12/PELI2/PSME1/LYN/TLR2/DDX60/LGR4/PSMA3/MB21D1/TNIP2/PRKACB/IL1B/DUSP4
GO:0070486	leukocyte aggregation	BP	62/617	455/16655	3.72220204612893e-19	1.60352464147234e-16	1.07669591818551e-16	62	ICAM1/CCL2/VCAM1/F2RL1/RELB/CD83/B2M/ICOSLG/HLA-E/RIPK2/EBI3/STAT5A/IL18R1/TNFSF18/TGFBR2/JAK3/IL15/IRF1/IL7R/CYLD/PIK3CD/LGALS9/CXADR/NOD2/CD47/SMAD3/EFNB1/PSMB10/BCL3/TNFRSF4/VNN1/TRAF2/TCF7/PDCD1LG2/MAP3K8/HLA-A/CD74/CAV1/PDE5A/NR4A3/PTPN2/RSAD2/IDO1/TP53/BTN3A1/MPZL2/NCK1/LYN/HLX/STAT6/CXCL12/HAS2/BTN2A2/IFNAR1/PSEN2/IL4R/XBP1/HES1/PSEN1/SHH/IL1B/EFNB2
GO:0002758	innate immune response-activating signal transduction	BP	48/617	285/16655	7.89261666915402e-19	3.09103569188323e-16	2.07549383797466e-16	48	TNFAIP3/NFKB2/NFKBIA/F2RL1/RELB/BIRC3/TNIP1/RIPK2/DDX58/TNIP3/IFIH1/CTSS/IRAK2/PSMB9/IRF1/TANK/NFKB1/MAP2K6/CYLD/CTSK/TLR3/NOD2/NFKBIB/PSMB10/PSMB8/MAP2K3/PSME2/PRKCD/TICAM1/MAP3K8/IRF7/TRAF3/CAV1/BIRC2/RSAD2/DHX58/COLEC12/PELI2/PSME1/LYN/TLR2/DDX60/LGR4/PSMA3/TNIP2/PRKACB/IL1B/DUSP4
GO:0042110	T cell activation	BP	60/617	447/16655	3.03935359237265e-18	1.00719502122626e-15	6.76286936991096e-16	60	ICAM1/CCL2/VCAM1/F2RL1/RELB/CD83/B2M/ICOSLG/HLA-E/RIPK2/EBI3/STAT5A/IL18R1/TNFSF18/TGFBR2/JAK3/IL15/IRF1/IL7R/CYLD/PIK3CD/LGALS9/CXADR/NOD2/CD47/SMAD3/EFNB1/PSMB10/BCL3/TNFRSF4/VNN1/TRAF2/TCF7/PDCD1LG2/MAP3K8/HLA-A/CD74/CAV1/PDE5A/PTPN2/RSAD2/IDO1/TP53/BTN3A1/MPZL2/NCK1/LYN/HLX/STAT6/CXCL12/BTN2A2/IFNAR1/PSEN2/IL4R/XBP1/HES1/PSEN1/SHH/IL1B/EFNB2
GO:0070489	T cell aggregation	BP	60/617	447/16655	3.03935359237265e-18	1.00719502122626e-15	6.76286936991096e-16	60	ICAM1/CCL2/VCAM1/F2RL1/RELB/CD83/B2M/ICOSLG/HLA-E/RIPK2/EBI3/STAT5A/IL18R1/TNFSF18/TGFBR2/JAK3/IL15/IRF1/IL7R/CYLD/PIK3CD/LGALS9/CXADR/NOD2/CD47/SMAD3/EFNB1/PSMB10/BCL3/TNFRSF4/VNN1/TRAF2/TCF7/PDCD1LG2/MAP3K8/HLA-A/CD74/CAV1/PDE5A/PTPN2/RSAD2/IDO1/TP53/BTN3A1/MPZL2/NCK1/LYN/HLX/STAT6/CXCL12/BTN2A2/IFNAR1/PSEN2/IL4R/XBP1/HES1/PSEN1/SHH/IL1B/EFNB2
GO:0071593	lymphocyte aggregation	BP	60/617	448/16655	3.39133666606186e-18	1.04356273981389e-15	7.00706252506617e-16	60	ICAM1/CCL2/VCAM1/F2RL1/RELB/CD83/B2M/ICOSLG/HLA-E/RIPK2/EBI3/STAT5A/IL18R1/TNFSF18/TGFBR2/JAK3/IL15/IRF1/IL7R/CYLD/PIK3CD/LGALS9/CXADR/NOD2/CD47/SMAD3/EFNB1/PSMB10/BCL3/TNFRSF4/VNN1/TRAF2/TCF7/PDCD1LG2/MAP3K8/HLA-A/CD74/CAV1/PDE5A/PTPN2/RSAD2/IDO1/TP53/BTN3A1/MPZL2/NCK1/LYN/HLX/STAT6/CXCL12/BTN2A2/IFNAR1/PSEN2/IL4R/XBP1/HES1/PSEN1/SHH/IL1B/EFNB2
GO:0071346	cellular response to interferon-gamma	BP	33/617	139/16655	6.158359352996e-18	1.76868080618045e-15	1.18759098259881e-15	33	ICAM1/CCL2/VCAM1/CX3CL1/B2M/CCL20/HLA-B/HLA-E/GBP1/HLA-F/IRF1/IFNGR1/TRIM21/PTAFR/IRF2/LGALS9/TLR3/IFNGR2/TRIM22/PRKCD/HLA-A/GBP5/OASL/IRF7/CCL7/DAPK3/PTPN2/WNT5A/OAS3/PML/HLA-C/GBP2/CD58
GO:0002221	pattern recognition receptor signaling pathway	BP	38/617	191/16655	1.17577369670837e-17	3.16577067838728e-15	2.12567507799645e-15	38	TNFAIP3/NFKB2/NFKBIA/F2RL1/BIRC3/TNIP1/RIPK2/DDX58/TNIP3/IFIH1/CTSS/IRAK2/IRF1/TANK/NFKB1/MAP2K6/CYLD/CTSK/TLR3/NOD2/NFKBIB/MAP2K3/TICAM1/MAP3K8/IRF7/TRAF3/CAV1/BIRC2/RSAD2/DHX58/COLEC12/PELI2/LYN/TLR2/DDX60/LGR4/TNIP2/DUSP4
GO:0034612	response to tumor necrosis factor	BP	45/617	280/16655	6.47048900860532e-17	1.63969803818069e-14	1.10098475514845e-14	45	ICAM1/CCL2/TNFAIP3/VCAM1/CXCL8/NFKB2/F2RL1/TRAF1/RELB/SELE/BIRC3/CX3CL1/LTB/TNFRSF9/CCL20/TNFSF18/ZC3H12A/PSMB9/NFKB1/CYLD/UBD/TNFSF15/PSMB10/TNFRSF4/TRAF2/PSMB8/PSME2/NKX3-1/CD70/SPHK1/TRAF3/CCL7/GCH1/POSTN/BIRC2/PTPN2/TNFRSF11B/PSME1/KLF2/PSMA3/IL18BP/HAS2/RELT/CD40/CD58
