ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04668                                                                                                                                                                                                                         	TNF signaling pathway                                                                                                                                                                                                            	35/328                                                                                                                                                                                                                           	108/7250                                                                                                                                                                                                                         	2.178477e-21                                                                                                                                                                                                                     	5.446192e-19                                                                                                                                                                                                                     	4.012983e-19                                                                                                                                                                                                                     	3383/6347/7128/7412/4792/7185/6401/330/1435/6374/6376/2919/6364/3627/2920/8809/3726/3600/2921/4790/5608/5293/64127/1437/602/7186/5606/1326/7187/329/10488/7424/8503/840/3553                                                     	35                                                                                                                                                                                                                               
hsa04060                                                                                                                                                                                                                         	Cytokine-cytokine receptor interaction                                                                                                                                                                                           	45/328                                                                                                                                                                                                                           	270/7250                                                                                                                                                                                                                         	8.921093e-15                                                                                                                                                                                                                     	1.115137e-12                                                                                                                                                                                                                     	8.216796e-13                                                                                                                                                                                                                     	6347/3576/1435/6373/6374/6376/4050/3604/2919/6372/6364/3627/2920/57007/8809/8995/7048/3552/3563/3600/2921/3459/3575/8743/3460/1439/9966/1437/7293/3601/85480/970/6354/650/80301/4982/2826/7424/5155/6387/84957/3454/3566/958/3553	45                                                                                                                                                                                                                               
hsa04064                                                                                                                                                                                                                         	NF-kappa B signaling pathway                                                                                                                                                                                                     	24/328                                                                                                                                                                                                                           	95/7250                                                                                                                                                                                                                          	2.470209e-12                                                                                                                                                                                                                     	2.058507e-10                                                                                                                                                                                                                     	1.516795e-10                                                                                                                                                                                                                     	3383/7128/7412/3576/4791/4792/7185/5971/330/4050/23586/2920/4790/5328/7186/148022/7187/329/597/4067/6387/958/3553/29775                                                                                                          	24                                                                                                                                                                                                                               
hsa04621                                                                                                                                                                                                                         	NOD-like receptor signaling pathway                                                                                                                                                                                              	31/328                                                                                                                                                                                                                           	168/7250                                                                                                                                                                                                                         	1.165039e-11                                                                                                                                                                                                                     	7.281492e-10                                                                                                                                                                                                                     	5.365310e-10                                                                                                                                                                                                                     	6347/7128/3576/4792/330/2919/8767/2920/2633/2921/10010/4790/115361/2635/64127/4793/24145/7186/5580/148022/115362/3665/7187/329/4940/2634/84168/3454/834/114769/3553                                                              	31                                                                                                                                                                                                                               
hsa05168                                                                                                                                                                                                                         	Herpes simplex infection                                                                                                                                                                                                         	29/328                                                                                                                                                                                                                           	185/7250                                                                                                                                                                                                                         	3.098699e-09                                                                                                                                                                                                                     	1.549350e-07                                                                                                                                                                                                                     	1.141626e-07                                                                                                                                                                                                                     	6347/4792/7185/3106/3133/6890/23586/64135/3600/3134/3459/4790/7098/3460/4793/7186/148022/3105/3665/6875/7187/972/7157/4940/7097/5371/3107/3454/3553                                                                              	29                                                                                                                                                                                                                               
hsa05164                                                                                                                                                                                                                         	Influenza A                                                                                                                                                                                                                      	27/328                                                                                                                                                                                                                           	173/7250                                                                                                                                                                                                                         	1.226824e-08                                                                                                                                                                                                                     	4.381516e-07                                                                                                                                                                                                                     	3.228485e-07                                                                                                                                                                                                                     	3383/6347/3576/4792/3627/23586/64135/3552/3459/4790/5608/8743/5293/7098/3460/4793/5606/148022/3665/91543/4599/4940/8503/5371/3454/834/3553                                                                                       	27                                                                                                                                                                                                                               
hsa05167                                                                                                                                                                                                                         	Kaposi's sarcoma-associated herpesvirus infection                                                                                                                                                                                	27/328                                                                                                                                                                                                                           	173/7250                                                                                                                                                                                                                         	1.226824e-08                                                                                                                                                                                                                     	4.381516e-07                                                                                                                                                                                                                     	3.228485e-07                                                                                                                                                                                                                     	3383/3576/4792/2919/3106/3133/2920/2921/3134/3459/4790/5608/5293/7098/1437/7186/148022/3105/3665/7187/7157/8503/4067/3107/5155/1827/3454                                                                                         	27                                                                                                                                                                                                                               
hsa05166                                                                                                                                                                                                                         	HTLV-I infection                                                                                                                                                                                                                 	33/328                                                                                                                                                                                                                           	255/7250                                                                                                                                                                                                                         	3.425543e-08                                                                                                                                                                                                                     	1.070482e-06                                                                                                                                                                                                                     	7.887764e-07                                                                                                                                                                                                                     	3383/7412/4791/4792/5971/3106/3133/4487/6776/7048/3718/3600/3134/467/4790/5293/4088/1437/8061/3601/3105/8829/7157/7474/8323/8503/3107/1030/5155/7494/958/196883/5567                                                             	33                                                                                                                                                                                                                               
hsa04380                                                                                                                                                                                                                         	Osteoclast differentiation                                                                                                                                                                                                       	22/328                                                                                                                                                                                                                           	128/7250                                                                                                                                                                                                                         	4.918289e-08                                                                                                                                                                                                                     	1.320482e-06                                                                                                                                                                                                                     	9.729871e-07                                                                                                                                                                                                                     	4791/4792/8878/5971/1435/7048/3552/3726/3459/4790/5608/1540/5293/1513/3460/4689/7186/8061/4982/8503/3454/3553                                                                                                                    	22                                                                                                                                                                                                                               
hsa04062                                                                                                                                                                                                                         	Chemokine signaling pathway                                                                                                                                                                                                      	27/328                                                                                                                                                                                                                           	185/7250                                                                                                                                                                                                                         	5.281930e-08                                                                                                                                                                                                                     	1.320482e-06                                                                                                                                                                                                                     	9.729871e-07                                                                                                                                                                                                                     	6347/3576/4792/6373/6374/6376/2919/6372/6364/3627/2920/3718/2921/4790/5293/4793/5580/6354/408/2826/53358/2770/8503/4067/6387/196883/5567                                                                                         	27                                                                                                                                                                                                                               
hsa05162                                                                                                                                                                                                                         	Measles                                                                                                                                                                                                                          	22/328                                                                                                                                                                                                                           	134/7250                                                                                                                                                                                                                         	1.150441e-07                                                                                                                                                                                                                     	2.614638e-06                                                                                                                                                                                                                     	1.926575e-06                                                                                                                                                                                                                     	7128/4792/23586/64135/6776/3552/3718/3459/4790/8743/5293/3460/4793/3665/27113/4599/7157/4940/8503/7097/3454/3553                                                                                                                 	22                                                                                                                                                                                                                               
hsa04657                                                                                                                                                                                                                         	IL-17 signaling pathway                                                                                                                                                                                                          	18/328                                                                                                                                                                                                                           	93/7250                                                                                                                                                                                                                          	1.301699e-07                                                                                                                                                                                                                     	2.711873e-06                                                                                                                                                                                                                     	1.998222e-06                                                                                                                                                                                                                     	6347/7128/3576/4792/6374/2919/6372/6364/3627/2920/2921/4790/1437/7186/8061/7187/6354/3553                                                                                                                                        	18                                                                                                                                                                                                                               
hsa04620                                                                                                                                                                                                                         	Toll-like receptor signaling pathway                                                                                                                                                                                             	19/328                                                                                                                                                                                                                           	104/7250                                                                                                                                                                                                                         	1.520152e-07                                                                                                                                                                                                                     	2.923369e-06                                                                                                                                                                                                                     	2.154061e-06                                                                                                                                                                                                                     	3576/4792/6373/3627/4790/5608/5293/1513/7098/5606/148022/1326/3665/7187/8503/7097/3454/958/3553                                                                                                                                  	19                                                                                                                                                                                                                               
hsa04933                                                                                                                                                                                                                         	AGE-RAGE signaling pathway in diabetic complications                                                                                                                                                                             	18/328                                                                                                                                                                                                                           	99/7250                                                                                                                                                                                                                          	3.505226e-07                                                                                                                                                                                                                     	6.163708e-06                                                                                                                                                                                                                     	4.541680e-06                                                                                                                                                                                                                     	3383/6347/7412/3576/6401/6776/7048/3552/4790/5293/7056/4088/5580/2152/7424/8503/4846/3553                                                                                                                                        	18                                                                                                                                                                                                                               
hsa05169                                                                                                                                                                                                                         	Epstein-Barr virus infection                                                                                                                                                                                                     	27/328                                                                                                                                                                                                                           	203/7250                                                                                                                                                                                                                         	3.698225e-07                                                                                                                                                                                                                     	6.163708e-06                                                                                                                                                                                                                     	4.541680e-06                                                                                                                                                                                                                     	3383/7128/4791/4792/7185/5971/3106/3133/4794/23586/3718/3134/4790/5608/5293/4793/7186/5606/3105/7187/7157/8503/4067/3107/958/965/5567                                                                                            	27                                                                                                                                                                                                                               
hsa04514                                                                                                                                                                                                                         	Cell adhesion molecules (CAMs)                                                                                                                                                                                                   	22/328                                                                                                                                                                                                                           	145/7250                                                                                                                                                                                                                         	4.784537e-07                                                                                                                                                                                                                     	7.475839e-06                                                                                                                                                                                                                     	5.508513e-06                                                                                                                                                                                                                     	3383/7412/6401/3106/23308/102723996/3133/6385/9076/3134/58494/5010/80380/3105/94030/947/7122/50848/3107/26047/958/965                                                                                                            	22                                                                                                                                                                                                                               
